koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_teq,koi_steff,koi_slogg,koi_srad
CANDIDATE,12.73262407,176.939054,0.811,2.2083,6.47E+03,432,3950,4.721,0.541
CANDIDATE,83.92494032,236.76334,0.658,6.7904,7.96E+03,226,3960,4.746,0.509
CONFIRMED,5.007316661,173.433997,0.344,4.2362,6.93E+03,998,5865,4.563,0.827
CONFIRMED,2.211116989,170.150139,0.69,1.6485,7.24E+02,931,4500,4.656,0.646
CONFIRMED,27.9541337,178.73791,0.063,3.95,9.43E+02,400,4500,4.656,0.646
CONFIRMED,12.69104387,137.12594,0.008,3.7727,2.52E+02,1008,5869,4.024,1.626
FALSE POSITIVE,4.409409243,171.89433,0.028,3.8636,1.29E+04,1101,5600,4.368,0.975
CONFIRMED,16.23947096,175.569907,0.043,4.0374,2.59E+03,598,5191,4.564,0.837
CONFIRMED,6.308201629,174.047661,0.03,2.9785,1.33E+03,819,5191,4.564,0.837
CONFIRMED,2.052349884,169.890622,0.437,2.0778,1.43E+04,1497,5855,4.393,1.08
CONFIRMED,9.7704486,175.71372,0.09,2.4517,1.90E+03,460,3906,4.73,0.509
CONFIRMED,5.169804269,172.63153,0.351,2.153,1.04E+03,569,3906,4.73,0.509
CONFIRMED,21.22261195,137.57403,0.02,6.5093,3.66E+02,771,5945,4.213,1.302
CONFIRMED,20.09017037,147.97788,0.886,4.154,1.43E+03,362,3906,4.73,0.509
CONFIRMED,7.11373257,174.32351,0.334,2.1764,8.08E+02,429,3561,4.855,0.411
CONFIRMED,3.306551643,134.37211,0.001,1.8177,5.09E+02,554,3561,4.855,0.411
CONFIRMED,15.36845737,147.38965,0.115,2.4714,7.56E+02,332,3561,4.855,0.411
CONFIRMED,13.81020318,172.33533,0.791,3.048,1.31E+03,833,5942,4.327,1.142
CONFIRMED,4.093578461,171.00954,0.93,2.5833,5.39E+02,1182,6077,4.471,0.999
CONFIRMED,105.145959,178.367,0.964,8.593,6.85E+02,401,6077,4.471,0.999
CONFIRMED,10.8484518,171.80584,0.21,2.9993,1.68E+03,499,4201,4.682,0.591
CONFIRMED,6.66833241,137.43988,0.644,1.915,3.62E+02,587,4201,4.682,0.591
CONFIRMED,4.082274889,169.6375652,0.093,3.23015,1.79E+04,1016,5655,4.581,0.794
CANDIDATE,3.886655224,169.73814,0.649,3.1646,5.82E+02,1010,5662,4.61,0.738
CONFIRMED,42.1406089,139.0604,0.045,5.083,8.96E+02,349,4500,4.656,0.646
CONFIRMED,4.617490562,135.04909,0.649,2.2618,5.76E+02,728,4500,4.656,0.646
CONFIRMED,10.19849255,137.92067,0.714,2.4283,6.34E+02,559,4500,4.656,0.646
FALSE POSITIVE,5.795063956,172.697467,0.949,3.2496,1.69E+03,950,5865,4.563,0.827
CONFIRMED,7.15681552,174.13511,0.45,2.5882,8.67E+02,782,5029,4.494,0.838
CONFIRMED,17.64830851,133.54533,0.653,2.0873,7.63E+02,579,5029,4.494,0.838
CONFIRMED,4.14810719,133.3881,0.093,2.535,1.75E+02,938,5029,4.494,0.838
CONFIRMED,16.51410989,176.11686,0.395,4.1575,9.74E+02,655,5527,4.488,0.866
